Scenario,Times__KP_VMMC_Scale_Up_times_1519,Values__KP_VMMC_Scale_Up_values_1519,Times__KP_VMMC_Scale_Up_times_1519,Values__KP_VMMC_Scale_Up_values_1519,Campaign
__s801519_0yr,"[2002,2011,2015.9999,2020]","[0.04,0.38,0.38,0]","[2002,2011,2015.9999,2020]","[0.07,0.31,0.31,0]",campaign_VMMC80_sweeps.json
__s801519_5yr,"[2002,2011,2015.9999,2020,2024.9999,2025]","[0.04,0.38,0.38,0.8,0.8,0]","[2002,2011,2015.9999,2020]","[0.07,0.31,0.31,0]",campaign_VMMC80_sweeps.json
__s801519_10yr,"[2002,2011,2015.9999,2020,2029.9999,2030]","[0.04,0.38,0.38,0.8,0.8,0]","[2002,2011,2015.9999,2020]","[0.07,0.31,0.31,0]",campaign_VMMC80_sweeps.json
__s801519_15yr,"[2002,2011,2015.9999,2020,2034.9999,2035]","[0.04,0.38,0.38,0.8,0.8,0]","[2002,2011,2015.9999,2020]","[0.07,0.31,0.31,0]",campaign_VMMC80_sweeps.json
__s801519_20yr,"[2002,2011,2015.9999,2020,2039.9999,2040]","[0.04,0.38,0.38,0.8,0.8,0]","[2002,2011,2015.9999,2020]","[0.07,0.31,0.31,0]",campaign_VMMC80_sweeps.json
__s801519_25yr,"[2002,2011,2015.9999,2020,2044.9999,2045]","[0.04,0.38,0.38,0.8,0.8,0]","[2002,2011,2015.9999,2020]","[0.07,0.31,0.31,0]",campaign_VMMC80_sweeps.json
__s802024_0yr,,,"[2002,2011,2015.9999,2020]","[0.04,0.38,0.8,0.8,0]",campaign_VMMC80_sweeps.json
__s802024_5yr,,,"[2002,2011,2015.9999,2020,2024.9999,2025]","[0.04,0.38,0.8,0.8,0]",campaign_VMMC80_sweeps.json
__s802024_10yr,,,"[2002,2011,2015.9999,2020,2029.9999,2030]","[0.04,0.38,0.8,0.8,0]",campaign_VMMC80_sweeps.json
__s801519_15yr,,,"[2002,2011,2015.9999,2020,2034.9999,2035]","[0.04,0.38,0.8,0.8,0]",campaign_VMMC80_sweeps.json
__s801519_20yr,,,"[2002,2011,2015.9999,2020,2039.9999,2040]","[0.04,0.38,0.8,0.8,0]",campaign_VMMC80_sweeps.json
__s801519_25yr,,,"[2002,2011,2015.9999,2020,2044.9999,2045]","[0.04,0.38,0.8,0.8,0]",
